NAME,HOX_D1,HOX_D2,HOX_D4,HOX_D7,HOX_D14
ILMN_1745214,0.012815579,0.096660593,-0.070677825,-0.50280676,-0.660510032
ILMN_1683678,0.141110734,-0.088685592,-0.024446788,0.38278537,0.141989213
ILMN_1749789,0.135002876,0.070589345,0.095256758,0.293486082,0.105025907
ILMN_1702837,-0.129305154,-0.196080933,-0.126487462,-0.3455937,0.126628374
ILMN_3203666,0.24913795,0.240283976,0.088751591,0.363195245,0.06331034
ILMN_1693210,-0.210997102,0.124853205,-0.117352075,-0.291966382,0.007979991
ILMN_1664610,-0.257640103,0.049695782,0.030647674,-0.296637129,-0.112676633
ILMN_2357682,0.280114476,0.249360104,0.100579164,0.328629476,0.074024373
ILMN_1712708,-0.000390154,0.226325646,-0.199438501,-0.448334334,0.012989416
ILMN_1685415,-0.084190049,-0.108338632,0.010686174,-0.334916247,-0.245405354
ILMN_2372974,0.187167902,0.090877612,-0.194044809,0.606354981,0.108165068
ILMN_1801795,0.165557214,0.015397993,0.038733855,0.403979472,0.053833043
ILMN_1679796,-0.007070076,0.107070355,0.051132188,0.354063033,0.077546172
ILMN_2145518,-0.150323805,0.077648298,0.218136783,0.378463076,0.039676085
ILMN_3212284,0.114499263,-0.02804345,0.234354756,0.508673674,-0.294437911
ILMN_1736974,0.086644015,-0.151847613,0.107603144,0.316194979,0.055614509
ILMN_2333670,0.428184111,0.242143763,0.739768524,0.801798514,0.605320022
ILMN_1781431,0.1781323,-0.111585706,0.189833076,0.404591405,0.088297138
ILMN_1704579,-0.038220498,0.414267887,0.173512008,0.478071893,-0.15342382
ILMN_1799367,0.083395988,0.211515304,0.17056409,0.470712904,0.202026185
ILMN_1723092,-0.110515161,0.016088376,-0.224926349,-0.509259395,0.025605686
ILMN_2382648,0.110879816,0.06301091,0.028896398,0.284134309,0.056562959
ILMN_2090351,-0.167768229,-0.024195919,-0.179660706,-0.435728361,0.00380229
ILMN_1655137,0.002230957,-0.112906494,-0.026723264,0.289205256,-0.052973386
ILMN_1811063,-0.015212884,-0.065059209,-0.001780164,0.29907681,-0.09951973
ILMN_2185022,0.473078478,0.224754245,0.128286912,0.479281921,0.168686237
ILMN_2302716,0.128056155,0.051861825,0.20063684,0.428339127,0.194340087
ILMN_3237839,-0.32586521,0.104812044,0.018461588,-0.373325242,-0.108899219
ILMN_1745573,-0.056368982,0.004056879,-0.069535189,0.294966015,0.089264206
ILMN_2180606,0.079767422,0.13466255,0.048903092,-0.442417954,-0.577362739
ILMN_3283090,0.18817087,0.100380854,0.20515402,0.393107117,-0.123124006
ILMN_1900734,0.084844033,-0.046196358,-0.149642984,-0.527185961,0.037264671
ILMN_2155480,-0.22503679,-0.158218252,0.038365139,-0.381981372,-0.040470332
ILMN_1669928,-0.082202046,0.041459323,-0.077814978,-0.305639036,0.042898594
ILMN_1760209,0.109955046,-0.087692447,0.09809277,0.355763414,-0.104007016
ILMN_1697469,0.034915719,0.005996961,0.137201888,0.444550442,0.153740981
ILMN_1654612,0.0406795,0.146297211,0.084402717,0.438372443,-0.086173296
ILMN_3266128,0.163695646,-0.07476398,0.058925143,0.283591275,0.126588376
ILMN_1660832,0.194256364,0.0057758,0.014385231,0.331557983,-0.077485923
ILMN_1749875,-0.004377135,0.195291769,-0.081666179,-0.41881973,0.02344405
ILMN_2112829,0.234177966,0.199947211,0.108294758,0.375699821,0.198431916
ILMN_1711886,-0.048949168,0.051319033,0.054717545,-0.299865848,0.136443036
ILMN_2121189,0.240013333,0.129403033,0.023297555,0.491449664,-0.276678533
ILMN_2354237,0.247002197,0.196923678,0.094257573,0.399562928,0.054016826
