ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_2038778,-0.17,0.63,-0.38,0.33,-0.39
ILMN_1343295,-0.17,0.63,-0.38,0.33,-0.39
ILMN_1739594,0.2,-0.15,0.2,0.35,0.22
ILMN_2353978,0.2,-0.15,0.2,0.35,0.22
ILMN_1727098,-0.03,-0.34,-0.55,-0.22,-0.19
ILMN_1785535,-0.12,0.01,-0.19,-0.3,-0.38
ILMN_1680899,-0.12,0.01,-0.19,-0.3,-0.38
ILMN_1682818,-0.12,0.01,-0.19,-0.3,-0.38
ILMN_1713249,0.28,0.21,0.46,0.37,0.25
ILMN_1756676,0.28,0.21,0.46,0.37,0.25
ILMN_1745420,0.28,0.21,0.46,0.37,0.25
ILMN_1814710,-0.01,-0.18,-0.29,-0.28,-0.18
ILMN_1771026,0.25,0.15,0.41,0.05,-0.04
ILMN_1704537,0.25,0.66,1.2,0.39,0.09
ILMN_2049021,-0.12,0.12,0.47,0.52,0.28
ILMN_1778611,-0.28,-0.27,-0.08,-0.43,-0.18
ILMN_2404688,-0.15,0.42,0.62,0.16,-0.25
ILMN_1810560,-0.15,0.42,0.62,0.16,-0.25
ILMN_2334693,0.03,0.15,-0.17,-0.08,-0.39
ILMN_1754178,0.03,0.03,0.16,0.27,0.17
ILMN_1685415,-0.19,-0.2,-0.17,-0.5,-0.39
ILMN_2160764,-0.19,-0.2,-0.17,-0.5,-0.39
ILMN_1703379,0.02,-0.15,-0.24,-0.33,-0.09
ILMN_1796075,0.02,-0.15,-0.24,-0.33,-0.09
ILMN_2383107,0.02,-0.15,-0.24,-0.33,-0.09
ILMN_2280911,0.02,-0.15,-0.24,-0.33,-0.09
ILMN_2170813,0.3,0.36,0.76,0.55,0.35
ILMN_2170814,0.3,0.36,0.76,0.55,0.35
ILMN_1709772,0.43,0.13,0.33,0.34,0.1
ILMN_1673676,0.43,0.13,0.33,0.34,0.1
ILMN_1659610,-0.05,-0.24,-0.4,-0.2,-0.36
ILMN_1656621,-0.44,-0.09,-0.31,-0.27,-0.31
